"arquivo","data","distribuidora_r_mil","periodo","referencia","divida_liquida_regulatorios","ebitda_ajst","qrr","fluxo_do_acionista","brl_ajustada_ipca","percent_div_reg_x_brl","dlr_ebitda_ajst_qrr","ebitda_ajst_vpb_reg","pmso_ajustado_pmso_regulatorio","capex_u4_5a","qrr_u4_5a","ebit_ajst_ebit_reg_brl","setoriais_constituicao_ebitda_reg","fluxo_acionista_brl_x_cap_proprio","perdas_realizadas","dgc","perdas_regulatorias","mercado_cagr_u5a","n_cagr_u5a"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2011.91666666667,"AmE",201112,"AmE201112","1114626.9300700002",-344813.66977,42441.6644408007,"0",512601.472464123,"282958.19020973408","Ebitda Neg",-0.960750155272194,2.2696210563626,NA,"0",-0.429024122511319,NA,"0 / +","0.67451657410230048","0.86054568175652735","0.16737272075041154","7.8854504495503575E-2","0.129048665773555"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2012.91666666667,"AmE",201212,"AmE201212","952530.29813000001",-626439.8583956,49196.7817906721,"-208340",548460.765134215,"302024.6984634726","Ebitda Neg",-1.50652627808821,2.06834863218855,NA,"0",-0.867957312874141,NA,"- / +","0.39060340904671231","0.94895867330694128","0.17047816386821138","9.4674044033440596E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2013.91666666667,"AmE",201312,"AmE201312","1807414.9697000002",-568566.14984,50322.1002591242,"0",519973.451220388,"286482.40425957809","Ebitda Neg",-1.24567818070407,2.15431061511801,NA,"193085.25627162392",-0.746334998397269,"0","0 / +","0.38577549350396811","0.82306767180711715","0.1783574524861356","9.9119845591670197E-2","0.120512693404869"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2014.91666666667,"AmE",201412,"AmE201412","2342083.4620800004",-22908.4283,21976.2841876624,"0",260001.328716072,"142993.30099564951","Ebitda Neg",-0.0608970092537549,1.70965765330041,"2512914.7762861066","181088.26332412701",0.922120233289809,NA,"0 / +","0.38933343743469706","0.90476087235446967","0.20595736035750159","0.11158318143097468","0.14243214662100567"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2015.91666666667,"AmE",201512,"AmE201512","1608574.63913",-1281225.2469872,22092.4501118662,"0",278634.234255979,"153338.40665050503","Ebitda Neg",-3.40904769042801,1.0707000478145,"2475042.0447478751","160868.63868463485",-4.11401943663449,NA,"0 / +","0.40283919074904412","0.76054218873020041","0.21330726427469265","2.5841477302280147E-2","9.5003858424691501E-4"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2016.91666666667,"AmE",201612,"AmE201612","2085439.7523699999",-5075945.6914354,22946.4541840456,"-117446",306107.029238096,"168903.07797186988","Ebitda Neg",-12.8946664169917,13.8081602582574,"2024494.9408293373","136041.33455791051",-16.1599034326897,"0","- / +","0.43172719670408016","0.82978219912840956","0.23442961459035391","3.9930503993687916E-2","4.7975763290836193E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 1T 2018 08 06.xlsx",2017.16666666667,"AmE",201703,"AmE201703","2216884.59222",-360517.3556585,22956.8034958009,NA,311132.491149908,NA,"Ebitda Neg",-12.821452264567,10.9297154024886,NA,NA,-16.5638790377068,NA,NA,NA,NA,NA,"1.2438315428153102E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2017.41666666667,"AmE",201706,"AmE201706","2336194.7297699996",-559574.3686121,23030.5253596819,NA,317048.666122498,NA,"Ebitda Neg",-12.6145346004939,7.79817200125862,NA,NA,-16.068430095266,NA,NA,NA,NA,NA,"1.2438315428153102E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2017.66666666667,"AmE",201709,"AmE201709","2687132.4367000004",-4973770.1373371,23105.0573539351,NA,323029.854006875,NA,"Ebitda Neg",-12.5204829873208,6.53155138037167,NA,NA,-15.7245617540186,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2017.91666666667,"AmE",201712,"AmE201712","2323428.2055799994",-1612831.879541,25967.7428059741,"-2764",326553.928262306,"178991.54165820353","Ebitda Neg",-3.60188971170621,4.95164572421857,"1021953.3542492541","103852.46670763307",-5.28216463123358,NA,"- / +","0.43669969111520851","0.70344463489502806","0.36513991889905301","1.2438315428153102E-2","6.1462557851467814E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 1T 2018 08 06.xlsx",2018.16666666667,"AmE",201803,"AmE201803","2581869.54066",-950340.3803076,30222.8847261611,NA,328719.419879689,NA,"Ebitda Neg",-4.21310739131156,4.39147374398161,NA,NA,-7.27104382623927,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2018.41666666667,"AmE",201806,"AmE201806",NA,-225468.23313,34525.306001017,NA,330908.972515044,NA,NA,-2.121889960581,3.51258177463755,NA,NA,-4.23139299603198,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2011.91666666667,"Ampla",201112,"Ampla201112","1980582.8143899997",642339.83071,218173.266746341,"51258",3259152.51280912,"1802156.9971559667","4.6693515770839742",0.532280010015497,1.03959436420897,NA,"0",-0.0160281014092296,NA,"3.518061617164394E-2","0.18467559642176304","1.0251870612953635","0.19242270560633232","3.3078769138950026E-2","1.8204591213258015E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2012.91666666667,"Ampla",201212,"Ampla201212","1721333.0843249995",1054114.43501,238978.649541102,"13158",3459857.12224362,"1905271.5542358733","2.1117133059430362",0.797771097319581,1.08936993760444,NA,"0",0.081066892175891,NA,"8.4639921216188678E-3","0.19117187520865872","1.0170837117166289","0.18601353037657017","4.1650347841882818E-2","1.6642700754518458E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2013.91666666667,"Ampla",201312,"Ampla201312","1629389.70044",1095094.83328,277558.394939197,"127301",3665571.16605775,"2020490.7882078378","1.9930484123091323",0.714371604510144,0.965553022793978,NA,"0",0.0427578405575859,NA,"7.7382845065832082E-2","0.18537870885529165","1.2181906299821132","0.18009447064635939","4.4737021504609231E-2","1.1321296490260702E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2014.91666666667,"Ampla",201412,"Ampla201412","1942630.2803699998",874012.92253,305716.718450881,"161247",3979167.67007251,"2189657.8401003936","3.4183411158233672",0.645122428124345,1.09231288692521,NA,"1378006.7380304101",0.0372501217739514,"0","9.0106797570657995E-2","0.19669874434422319","1.3904607680642074","0.1750955205188385","5.1065924024204623E-2","1.6054493362272826E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2015.91666666667,"Ampla",201512,"Ampla201512","2640288.9166099997",314213.31846,324720.167896596,"110",4296082.0655247,"2370422.1709079868","Flx Neg",0.231641220688165,1.61722368255555,"2842021.5659677014","1525025.0718274298",-0.0816278530052314,NA,"5.7123275147138345E-5","0.20056685628915208","1.8667925119176032","0.16934524453838432","3.9455037867981435E-2","2.0778694661031993E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2016.91666666667,"Ampla",201612,"Ampla201612","3308266.7873217193",341699.24195,344859.936109242,"0",4731141.42593368,"2593836.5045253942","Flx Neg",0.236978900438473,1.81069362531937,"3468920.0169995623","1725916.9080416937",-0.0900474881584976,"-2.6750690063640736E-2","0 / +","0.19792088322030507","1.6757204064977462","0.16205261214489919","2.2306961481852738E-2","2.0993655356189578E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 1T 2017 08 07.xlsx",2017.16666666667,"Ampla",201703,"Ampla201703","3541083.3415424",127080.97812,348688.577851783,NA,4603092.25143415,NA,"Flx Neg",0.0871411207031132,0.430668165452665,NA,NA,-0.0954564146872968,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 2T 2017 11 10.xlsx",2017.41666666667,"Ampla",201706,"Ampla201706","3748830.83199659",415723.40739,352947.676458282,NA,3422189.84564238,NA,"59.71783643704952",0.28147414910129,1.75121652170549,NA,NA,-0.115373078738393,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2017.66666666667,"Ampla",201709,"Ampla201709","3981989.2098242734",452896.91095,357253.57834617,NA,4935541.6242716,NA,"41.633735477603345",0.302785056272755,1.65845065291739,NA,NA,-0.0769331722579243,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2011.91666666667,"Bandeirante",201112,"Bandeirante201112","624199.54848",449548.38689,148329.573735787,"263604",1441661.15103738,"795751.06681229617","2.0722462250737075",0.591427211717187,1.03236396605879,NA,"572010.75356300268",0.0484925703153024,NA,"0.408112532127829","0.10420211233564644","0.88137559008678867","9.568274537604958E-2","2.8393873608583586E-2","2.5161739018610296E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2012.91666666667,"Bandeirante",201212,"Bandeirante201212","593114.20244000014",322347.74961,144590.201516792,"53750",1564184.14283249,"860570.46654124255","3.3366470723876063",0.487351064274317,1.00592601165859,NA,"614373.07260367973",0.00944004238309636,NA,"7.6391351975017036E-2","0.10330376230005449","0.8523780631678296","9.2125990085520915E-2","2.1578962095025966E-2","2.703680755361515E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2013.91666666667,"Bandeirante",201312,"Bandeirante201312","251766.14488999988",270001.50086,162249.613447575,"-50181",1644124.34296438,"905672.33313747472","2.3365358225824369",0.36456265361618,1.22463421780316,NA,"650736.84188930027",-0.0484523725166947,NA,"- / +","9.9799148061269882E-2","0.77124750606845693","8.7442824902708799E-2","2.6244678469200533E-2","2.9774238420627652E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2014.91666666667,"Bandeirante",201412,"Bandeirante201412","293587.12502000015",341109.16804,175538.897093169,"225000",1743336.53552679,"959884.57392291934","1.7731874408436421",0.425976281069968,1.01253230496159,"599485.89589837135","686538.24077206",-0.0108209633797958,NA,"0.28719055031706364","9.5713899516360113E-2","0.77277421027411919","8.3454451986154893E-2","3.7301874903518106E-2","3.0803416640406756E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2015.91666666667,"Bandeirante",201512,"Bandeirante201512","235490.65954999998",427132.9424,181748.153851086,"172750",1806995.5728979,"973993.09389257163","0.95967912657739218",0.505430331405901,0.997069709538637,"505362.09184856643","723847.4615714706",0.0168506646416931,"0","0.20738233601210587","9.0259153062953595E-2","0.78121335473012632","8.040905561509186E-2","1.0448401237890481E-2","3.4435580548931366E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2016.91666666667,"Bandeirante",201612,"Bandeirante201612","841139.67131999996",249332.43795,163536.28579386,"239374",1707517.96992644,"831655.24708355649","9.8039323463972057",0.299423600771782,1.17899479903284,"673473.9435585246","773770.65752976888",-0.0672287573206373,"-0.32222437133158821","0.27330081958852714","8.9068367331095077E-2","0.8690409358622817","7.841431498587248E-2","1.4458073481038891E-2","3.1479634208786855E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 1T 2017 08 07.xlsx",2017.16666666667,"Bandeirante",201703,"Bandeirante201703","897366.00867",97520.39137,165003.186002502,NA,1737955.27538389,NA,"Flx Neg",0.116031559501182,0.317670460940271,NA,NA,-0.09812116883309,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 2T 2017 11 10.xlsx",2017.41666666667,"Bandeirante",201706,"Bandeirante201706","856750.8417",334651.35642,166934.125454055,NA,1773373.76824429,NA,"5.1083054303106232",0.393436183012329,1.17367250545518,NA,NA,-0.0150271351771569,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2017.66666666667,"Bandeirante",201709,"Bandeirante201709","955004.05698000011",350018.78404,168886.284020459,NA,1809181.47531195,NA,"5.2724058734736863",0.406611312519698,1.14161795932907,NA,NA,-0.00603526229500892,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2011.91666666667,"Boa Vista",201112,"Boa Vista201112","386787.11130000005",-144460.12374,5978.56912379535,"0",102411.900562236,"56531.804131830409","Ebitda Neg",-3.17060409925433,8.24341899144293,NA,"0",-1.30619933450734,NA,"0 / +","0.15783736508073934","0.69525130507719679","0.14415843881074439","0.1203112249325029","5.6748117467861459E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2012.91666666667,"Boa Vista",201212,"Boa Vista201212","168465.31363999998",-113844.8635477,6958.57643906653,"-363461",109576.176344567,"60341.074007635536","Ebitda Neg",-2.14909186766218,6.40262421750093,NA,"0",-0.981617065981201,NA,"- / +","0.12268657054448465","0.7289001597125786","0.13503685814911096","0.13773990907028644","5.5706771505747987E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2013.91666666667,"Boa Vista",201312,"Boa Vista201312","208669.83569000001",-45602.2658,8175.95197876906,"0",118824.378466948,"65452.704278339792","Ebitda Neg",-0.773245857647016,3.29401753235902,NA,"28515.040926794354",-0.335600404365578,NA,"0 / +","0.1212473215964872","0.75560064912701241","0.11761695849574967","0.14651593388585304","5.3051456405615927E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2014.91666666667,"Boa Vista",201412,"Boa Vista201412","305532.28938000003",-63064.51798,10073.6340247335,"0",143812.212532726,"79092.607315092027","Ebitda Neg",-1.1130166687154,4.6280279602997,"102649.61334397268","33670.484866698389",-0.357976028131227,NA,"0 / +","0.11677565233079308","0.78756249929649602","9.5052389211378319E-2","0.13070778151301532","5.3139077115366584E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2015.91666666667,"Boa Vista",201512,"Boa Vista201512","590222.91158000007",-198739.99154,11443.4342821331,"0",154118.465138587,"84814.703199972093","Ebitda Neg",-3.09105147763519,7.59643738311821,"88302.817703881927","39676.543045515704",-1.48749127724241,NA,"0 / +","0.12879489567485389","1.4468562227204349","0.11100638052611221","0.11789268910256334","5.6740540595251909E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2016.91666666667,"Boa Vista",201612,"Boa Vista201612","518094.26837999996",-178634.4412,13101.3742471101,"-80089",169314.246830729,"93423.850819038795","Ebitda Neg",-2.42854236096742,5.18634724303381,"92151.920859527512","47826.781255398615",-0.133982531937976,"-0.20270259439602398","- / +","0.1244499269398672","2.5056280193236713","0.11175835030898883","0.11250542349585091","5.021008208063904E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 1T 2018 08 06.xlsx",2017.16666666667,"Boa Vista",201703,"Boa Vista201703","572800.32545",-30770.14875,13448.2219291887,NA,172093.93568888,NA,"Ebitda Neg",-0.407602198325882,1.21853042865941,NA,NA,-0.330189857468928,NA,NA,NA,NA,NA,"4.8880783275574435E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2017.41666666667,"Boa Vista",201706,"Boa Vista201706","478068.98520999996",-66052.0328,13834.4138672433,NA,175366.296706189,NA,"Ebitda Neg",-1.66541612074289,8.03463856780992,NA,NA,-0.932974626045366,NA,NA,NA,NA,NA,"4.8880783275574435E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2017.66666666667,"Boa Vista",201709,"Boa Vista201709","578727.40189999994",-47515.23769,14224.8496727489,NA,178674.617734677,NA,"Ebitda Neg",-0.595245107289139,10.159310644099,NA,NA,-0.461975995330907,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2017.91666666667,"Boa Vista",201712,"Boa Vista201712","590282.56359000003",-110736.11378,16564.8926185503,"0",180623.857449357,"99003.992624283404","Ebitda Neg",-1.48713529642721,5.11621063461505,"91240.192987609655","56560.341040936939",-0.575049387461111,"1.0283698668388266E-5","0 / +","0.23639632676909378","3.1524749446511073","0.15032930506301045","4.8880783275574435E-2","0.11810825801532743"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 1T 2018 08 06.xlsx",2018.16666666667,"Boa Vista",201803,"Boa Vista201803","281119.82737",-28286.41617,19871.2513995972,NA,181821.636484776,NA,"Ebitda Neg",-1.10374902574777,3.97557391896877,NA,NA,-0.517268235220724,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2018.41666666667,"Boa Vista",201806,"Boa Vista201806","252345.81747000007",193625.04139,23214.3475004336,NA,183032.724176143,NA,"2.0803532546650234",1.10943000887962,3.52483303410361,NA,NA,0.717042202482298,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2011.91666666667,"Caiuá-D",201112,"Caiuá-D201112","251651.24167999998",15336.2416578,8889.02941510568,"0",98423.6545246604,"53953.809497781738","39.032566667114054",0.216682114112484,0.959022736933066,NA,"0",-0.209438617352617,NA,"0 / +","8.1962479333317351E-2","0.65393344045587831","8.1447093743339971E-2","4.3184942648158309E-2","2.1998549228327002E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2012.91666666667,"Caiuá-D",201212,"Caiuá-D201212","266784.74940999993",-11551.0926987,11596.3938315947,"0",101378.55398576,"55695.158521032456","Ebitda Neg",-0.150607518193756,1.24496737709655,NA,"39960.341276906802",-0.348322904003944,NA,"0 / +","7.8821757132145537E-2","0.75181141189493816","7.7388373299104807E-2","4.2024968842321764E-2","2.376759405051132E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2013.91666666667,"Caiuá-D",201312,"Caiuá-D201312","295970.1390938746",-2405.11535839999,13947.4153735339,"0",105611.517299419,"58090.147215981364","Ebitda Neg",-0.0283558969929493,0.847454768802821,NA,"46217.067155052238",-0.248085198295283,NA,"0 / +","7.9479645621721648E-2","0.89679261958798884","7.5494420695230963E-2","4.4511672777318045E-2","2.391367155484847E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2014.91666666667,"Caiuá-D",201412,"Caiuá-D201412","102471.35353000002",7068.8761152,15643.9921676238,"-194590",112320.69978176,"61818.98265264876","Flx Neg",0.0743974996158842,0.573315734596114,"79344.877270804136","54026.803742629527",-0.14959458847575,NA,"- / +","7.7678942087964692E-2","0.92398164845656083","7.6795866365069479E-2","4.6174859596885387E-2","2.5095444189626726E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2015.91666666667,"Caiuá-D",201512,"Caiuá-D201512","158054.40463",35271.627827,16847.3407512165,"0",120771.520279598,"66613.131290794583","8.5785899872209335",0.344719270933074,0.620576527133876,"123025.46852219047","63043.825737282852",0.0801694297661391,NA,"0 / +","7.5573486955158642E-2","1.2296699464984253","7.6882773225066786E-2","2.3340224007598387E-2","2.6002767413965122E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2016.91666666667,"Caiuá-D",201612,"Caiuá-D201612","89022.969190000033",23118.15728,17841.1620394121,"-30000",143888.56919539,"73032.361000155943","16.870011271808778",0.217250954253925,1.05372721876532,"144637.94816565295","72305.593700137018",-0.0683044113158752,"0","- / +","7.347051027959417E-2","0.98535126784701355","7.7099998472557343E-2","1.3137340805516873E-2","2.4055043768944628E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 1T 2017 08 07.xlsx",2017.16666666667,"Caiuá-D",201703,"Caiuá-D201703","84783.6227699999",580.635909500001,18035.824015093,NA,150992.793912244,NA,"Flx Neg",0.00543453160055014,-0.0793559424799712,NA,NA,-0.17006287793508,"0",NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 2T 2017 11 10.xlsx",2017.41666666667,"Caiuá-D",201706,"Caiuá-D201706","88827.26382",54307.8362217,18204.7563353588,NA,155181.538504693,NA,"2.4603791172288831",0.504968199424772,1.09649900967887,NA,NA,0.123135546102034,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2017.66666666667,"Caiuá-D",201709,"Caiuá-D201709","181254.81035000004",108823.3619746,18315.7284745335,NA,156769.327117864,NA,"2.0026466646027905",1.00533886065374,2.10165981706084,NA,NA,0.393296961014148,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2011.91666666667,"CEA",201112,"CEA201112","56286.988189999996",-131577.48559,0,"-3000",0,"0","Ebitda Neg",-1.24577601578,NA,NA,"0",NA,NA,NA,"0.40180897753487627","1.7598339667792402","0","6.8033418292871461E-2","4.8017964674422098E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2012.91666666667,"CEA",201212,"CEA201212","943732.65107999998",-108249.71546,0,"-12193.929",0,"0","Ebitda Neg",-0.997144787441768,NA,NA,"0",NA,NA,NA,"0.41709640621342087","1.9613461527346705","0","7.07383066124323E-2","4.6837744803263082E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2013.91666666667,"CEA",201312,"CEA201312","640641.53566000005",-162064.94586,0,"-650065",0,"0","Ebitda Neg",-1.23793983591359,NA,NA,"0",NA,NA,NA,"0.38693028056900286","2.0032458056257512","0","7.5253350709308497E-2","4.8263382687004475E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2014.91666666667,"CEA",201412,"CEA201412","252934.71279999998",-84171.41346,0,"-263875",0,"0","Ebitda Neg",-1.17635564229643,NA,NA,"0",NA,NA,NA,"0.41417455365502415","1.8726333085689042","0","7.547643135459503E-2","4.6282342559156753E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2015.91666666667,"CEA",201512,"CEA201512","1064042.2605699999",-371963.84453,0,"-38047",0,"0","Ebitda Neg",-4.63388789154914,NA,"0","0",NA,NA,NA,"0.41391557175461541","2.3314220326353796","0","6.1122918056674136E-2","4.3379573863361109E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2016.91666666667,"CEA",201612,"CEA201612","542222.43375999993",-388895.2358953,0,"-39388",0,"0","Ebitda Neg",-4.05904672108888,NA,"0","0",NA,NA,NA,"0.40348425353701084","1.9439376292327006","0","6.1528671244264421E-2","3.8855663116261763E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 1T 2018 08 06.xlsx",2017.16666666667,"CEA",201703,"CEA201703","604733.96669",-59280.2274558,NA,NA,NA,NA,NA,-0.590651677513811,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.8405790953283558E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2017.41666666667,"CEA",201706,"CEA201706","310043.42327000003",-123603.6922893,NA,NA,NA,NA,NA,-4.6012351658326,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.8405790953283558E-2",NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2017 3T 2018 02 20.xlsx",2017.66666666667,"CEA",201709,"CEA201709","317001.53919000004",-593407.5473128,NA,NA,NA,NA,NA,-5.38777723835107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2017.91666666667,"CEA",201712,"CEA201712","661880.46610999992",-206612.1607992,0,"0",0,"0","Ebitda Neg",-1.66343112475356,NA,"0","0",NA,NA,NA,NA,"1.2674274252855615",NA,"3.8405790953283558E-2","3.5135958289501668E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 1T 2018 08 06.xlsx",2018.16666666667,"CEA",201803,"CEA201803","518249.77882",-28745.22476,12977.0370678716,NA,154319.286612545,NA,"Ebitda Neg",-1.11523697521579,6.31711973900169,NA,NA,-1.86956357429147,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2018.41666666667,"CEA",201806,"CEA201806","729278.81371000013",-99317.0889922,22736.6269288329,NA,270377.59307322,NA,"Ebitda Neg",-0.647530345518257,3.39584978076254,NA,NA,-0.836032382810886,NA,NA,NA,NA,NA,NA,NA
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2011.91666666667,"Ceal",201112,"Ceal201112","355215.46367999999",-64283.50504,43700.9058440714,"-89000",407935.247075188,"224386.29557359847","Ebitda Neg",-0.228368230651737,1.72929110346179,NA,"0",-0.373910071873766,NA,"- / +","0.29947578192694646","1.2030212404283036","0.1983697674224601","4.719110683738803E-2","4.5110251750046348E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2012.91666666667,"Ceal",201212,"Ceal201212","448152.49871000001",-90756.88476,50399.5258554374,"-65000",434535.937182438,"239553.46474068781","Ebitda Neg",-0.279737895160566,1.80348720000736,NA,"0",-0.416748382683435,"0","- / +","0.26944863797560886","1.4000259559031856","0.19001906869319421","6.4391920860061402E-2","4.2501589689639463E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2013.91666666667,"Ceal",201312,"Ceal201312","745920.46908000007",-58405.1733699993,54770.0525874625,"-21918",446523.907518408,"246008.73523718762","Ebitda Neg",-0.17343427784519,1.74525117419607,NA,"204638.66460001416",-0.322905442131311,NA,"- / +","0.26497948200108268","1.48638790459496","0.18337604458483919","6.9224486704917876E-2","4.0445812979949647E-2"
"../../BaseDadosANEEL/Base em Excel//Indicadores Base 2018 2T 2018 08 22.xlsx",2014.91666666667,"Ceal",201412,"Ceal201412","863513.18940000003",-35684.36239,57286.1670710691,"0",453720.126678266,"249555.044516378","Ebitda Neg",-0.111260829747644,1.62549253197645,"432778.00368705869","223960.54757537844",-0.21703337795561,NA,"0 / +","0.2480526160860595","1.9656024957234211","0.18109568129491843","7.6979810015307848E-2","4.0427146235542777E-2"
